2015-12-29 00:31:36   89527121 RC_2007-10part_0000
2015-12-29 00:31:37  133167885 RC_2007-11part_0000
2015-12-29 00:31:38   77731952 RC_2007-11part_0001
2015-12-29 00:31:39  133168906 RC_2007-12part_0000
2015-12-29 00:31:40   81648142 RC_2007-12part_0001
2015-12-29 00:45:40  133168749 RC_2008-01part_0000
2015-12-29 00:45:42  130803870 RC_2008-01part_0001
2015-12-29 00:45:44  133169008 RC_2008-02part_0000
2015-12-29 00:45:46  123395268 RC_2008-02part_0001
2015-12-29 00:45:48  133169122 RC_2008-03part_0000
2015-12-29 00:45:50  133168286 RC_2008-03part_0001
2015-12-29 00:45:53    1597141 RC_2008-03part_0002
2015-12-29 00:45:53  133168642 RC_2008-04part_0000
2015-12-29 00:45:55  133168389 RC_2008-04part_0001
2015-12-29 00:45:57    6318543 RC_2008-04part_0002
2015-12-29 00:45:57  133168692 RC_2008-05part_0000
2015-12-29 00:45:59  133168511 RC_2008-05part_0001
2015-12-29 00:46:01   44067029 RC_2008-05part_0002
2015-12-29 00:46:02  133168912 RC_2008-06part_0000
2015-12-29 00:46:04  133168568 RC_2008-06part_0001
2015-12-29 00:46:06   69723239 RC_2008-06part_0002
2015-12-29 00:46:07  133168892 RC_2008-07part_0000
2015-12-29 00:46:10  133166871 RC_2008-07part_0001
2015-12-29 00:46:12   79753303 RC_2008-07part_0002
2015-12-29 00:46:13  133169045 RC_2008-08part_0000
2015-12-29 00:46:15  133168489 RC_2008-08part_0001
2015-12-29 00:46:17   80288968 RC_2008-08part_0002
2015-12-29 00:46:19  133168789 RC_2008-09part_0000
2015-12-29 00:46:21  133168387 RC_2008-09part_0001
2015-12-29 00:46:23  129723137 RC_2008-09part_0002
2015-12-29 00:46:25  133169122 RC_2008-10part_0000
2015-12-29 00:46:28  133169055 RC_2008-10part_0001
2015-12-29 00:46:30  133168650 RC_2008-10part_0002
2015-12-29 00:46:32   57183679 RC_2008-10part_0003
2015-12-29 00:46:33  133169024 RC_2008-11part_0000
2015-12-29 00:46:35  133168646 RC_2008-11part_0001
2015-12-29 00:46:37  133168125 RC_2008-11part_0002
2015-12-29 00:46:39   55417372 RC_2008-11part_0003
2015-12-29 00:46:40  133168277 RC_2008-12part_0000
2015-12-29 00:46:42  133168636 RC_2008-12part_0001
2015-12-29 00:46:44  133168704 RC_2008-12part_0002
2015-12-29 00:46:46   91139086 RC_2008-12part_0003
2015-12-29 01:10:09  133168727 RC_2009-01part_0000
2015-12-29 01:10:12  133168901 RC_2009-01part_0001
2015-12-29 01:10:14  133168865 RC_2009-01part_0002
2015-12-29 01:10:16  133169099 RC_2009-01part_0003
2015-12-29 01:10:19   76195892 RC_2009-01part_0004
